id,brand,model,year,price,mileage,fuel,location,color,color_group,source,url,crawl_date
1,Other,Other,2027,271060000,0,Điện,Tp.Hcm,Đỏ,Đỏ,chotot,https://www.chotot.com/130161252.htm,2026-01-09
2,Vinfast,Vf 5,2027,469970000,326,Điện,Hà Nội,Trắng,Trắng,chotot,https://www.chotot.com/129749326.htm,2026-01-09
3,Vinfast,Limo,2027,704000000,7,Điện,Tp.Hcm,Đỏ,Đỏ,chotot,https://www.chotot.com/123549450.htm,2026-01-09
4,Ford,Territory,2026,682000000,0,Xăng,Hà Nội,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-ford-territory-trend-1.5-at-2026-6525384,2026-01-09
5,Lexus,Rx,2026,3500000000,0,Hybrid,Hà Nội,Bạc,Bạc,bonbanh,https://bonbanh.com/xe-lexus-rx-350h-premium-2026-6606025,2026-01-09
6,Vinfast,Vf 3,2025,262000000,0,Điện,Hà Nội,Đỏ,Đỏ,bonbanh,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6455666,2026-01-09
7,Vinfast,Vf 5,2025,482000000,0,Điện,Tp.Hcm,Đỏ,Đỏ,chotot,https://www.chotot.com/130179101.htm,2026-01-09
8,Vinfast,Vf 5,2025,497000000,0,Điện,Tp.Hcm,Đỏ,Đỏ,chotot,https://www.chotot.com/130180058.htm,2026-01-09
9,Kia,New,2025,579000000,0,Xăng,Tp.Hcm,Trắng,Trắng,chotot,https://www.chotot.com/116012605.htm,2026-01-09
10,Mitsubishi,Xpander Cross,2025,610000000,0,Xăng,Hà Nội,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-mitsubishi-xpander-cross-1.5-at-2025-6445681,2026-01-09
11,Vinfast,Vf 6,2025,620000000,0,Điện,Hà Nội,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-vinfast-vf6-eco-2025-6523622,2026-01-09
12,Other,Other,2025,660000000,600,Điện,Tp.Hcm,Đỏ,Đỏ,chotot,https://www.chotot.com/129395080.htm,2026-01-09
13,Other,Other,2025,665000000,3000,Điện,Tp.Hcm,Trắng,Trắng,chotot,https://www.chotot.com/129584349.htm,2026-01-09
14,Byd,Atto,2025,669000000,500000,Điện,Tp.Hcm,Đỏ,Đỏ,chotot,https://www.chotot.com/127891633.htm,2026-01-09
15,Vinfast,Limo,2025,719000000,0,Điện,Quảng Ninh,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-vinfast-limo-green-at-2025-6143146,2026-01-09
16,Ford,Ranger,2025,721000000,0,Dầu,Hà Nội,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x4-at-2025-4879179,2026-01-09
17,Mazda,Cx 30,2025,729000000,0,Điện,Tp.Hcm,Đỏ,Đỏ,chotot,https://www.chotot.com/130179977.htm,2026-01-09
18,Toyota,Innova,2025,730000000,0,Xăng,Hà Nội,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-toyota-innova-cross-2.0g-cvt-2025-6555849,2026-01-09
19,Mazda,Cx 5,2025,739000000,1000,Xăng,Khác,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-mazda-cx5-deluxe-2.0-at-2025-6509784,2026-01-09
20,Ford,Territory,2025,770000000,0,Xăng,Hà Nội,Xám,Xám,bonbanh,https://bonbanh.com/xe-ford-territory-titanium-1.5-at-2025-6571288,2026-01-09
21,Mazda,Cx 5,2025,776000000,0,Xăng,Hà Nội,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-mazda-cx5-premium-2.0-at-2025-6241734,2026-01-09
22,Mazda,Cx 5,2025,814000000,0,Điện,Tp.Hcm,Trắng,Trắng,chotot,https://www.chotot.com/130180066.htm,2026-01-09
23,Mazda,Cx 5,2025,820000000,29000,Điện,Hải Phòng,Đỏ,Đỏ,bonbanh,https://bonbanh.com/xe-mazda-cx5-premium-sport-2.0-at-2025-6591928,2026-01-09
24,Hyundai,Tucson,2025,956000000,1600,Điện,Tp.Hcm,Trắng,Trắng,chotot,https://www.chotot.com/129999091.htm,2026-01-09
25,Ford,Everest,2025,1010000000,0,Điện,Hà Nội,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-ford-everest-ambiente-2.0l-4x2-at-2025-4898516,2026-01-09
26,Honda,Cr V,2025,1099000000,0,Điện,Tp.Hcm,Đỏ,Đỏ,chotot,https://www.chotot.com/128782382.htm,2026-01-09
27,Ford,Ranger Raptor,2025,1299000000,0,Dầu,Hà Nội,Đen,Đen,bonbanh,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2025-6563871,2026-01-09
28,Volkswagen,Viloran,2025,2239000000,7399,Xăng,Tp.Hcm,Unknown,Khác,otocomvn,https://oto.com.vn/mua-ban-xe-volkswagen-viloran-hcm/luxury-sieu-luot-7399km-cuc-dep-aidxc23397425,2026-01-09
29,Mercedes-Benz,E Class,2025,2449000000,0,Hybrid,Tp.Hcm,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-mercedes_benz-e_class-e200-avantgarde-2025-6293776,2026-01-09
30,Toyota,Land Cruiser,2025,4580000000,0,Xăng,Hà Nội,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2025-5720090,2026-01-09
31,Lexus,Lx,2025,10086000000,9600,Xăng,Hà Nội,Unknown,Khác,otocomvn,https://oto.com.vn/mua-ban-xe-lexus-lx-600-ha-noi/ban-4-ghe-vip-san-xe-giao-ngay-aidxc23387290,2026-01-09
32,Vinfast,Vf 3,2024,215000000,1,Điện,Tp.Hcm,Trắng,Trắng,chotot,https://www.chotot.com/130179391.htm,2026-01-09
33,Mitsubishi,Attrage,2024,392000000,20000,Xăng,Hưng Yên,Hồng,Khác,otocomvn,https://oto.com.vn/mua-ban-xe-mitsubishi-attrage-hung-yen/san-ho-so-ban-giao-xe-dep-bao-duong-chinh-hang-aidxc23398337,2026-01-09
34,Vinfast,Vf 5,2024,445000000,25000,Điện,Bình Dương,Unknown,Khác,otocomvn,https://oto.com.vn/mua-ban-xe-vinfast-vf5-binh-duong/gia-ca-thuong-luong-aidxc23395071,2026-01-09
35,Toyota,Vios,2024,445000000,5000,Xăng,Khác,Unknown,Khác,otocomvn,https://oto.com.vn/mua-ban-xe-toyota-vios-phu-yen/15-e-cvt-2024-aidxc23399451,2026-01-09
36,Hyundai,Accent,2024,448000000,0,Xăng,Hưng Yên,Đỏ,Đỏ,bonbanh,https://bonbanh.com/xe-hyundai-accent-1.4-at-2024-6495717,2026-01-09
37,Hyundai,Venue,2024,515000000,26000,Xăng,Đà Nẵng,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-hyundai-venue-1.0-t-gdi-dac-biet-2024-6605030,2026-01-09
38,Kia,Sonet,2024,569000000,17000,Xăng,Hà Nội,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-kia-sonet-luxury-1.5-at-2024-6614547,2026-01-09
39,Mitsubishi,Xpander,2024,579000000,39000,Xăng,Khác,Cam,Khác,otocomvn,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-hoa-binh/du-ho-so-sang-ten-tai-ha-noi-cam-ket-bao-hanh-aidxc23400094,2026-01-09
40,Hyundai,Creta,2024,599000000,58000,Điện,Tp.Hcm,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-hyundai-creta-dac-biet-1.5-at-2024-6589501,2026-01-09
41,Ford,Transit,2024,650000000,50000,Điện,Tp.Hcm,Đỏ,Đỏ,chotot,https://www.chotot.com/130180357.htm,2026-01-09
42,Mazda,3,2024,675000000,4000,Xăng,Tp.Hcm,Đỏ,Đỏ,bonbanh,https://bonbanh.com/xe-mazda-3-1.5l-sport-premium-2024-6605807,2026-01-09
43,Toyota,Innova,2024,810000000,36000,Điện,Hà Nội,Trắng,Trắng,chotot,https://www.chotot.com/129962893.htm,2026-01-09
44,Hyundai,Custin,2024,895000000,41000,Xăng,Hưng Yên,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-hyundai-custin-cao-cap-2.0t-2024-6570643,2026-01-09
45,Other,Other,2024,965000000,5000,Điện,Tp.Hcm,Trắng,Trắng,chotot,https://www.chotot.com/130122851.htm,2026-01-09
46,Ford,Ranger Raptor,2024,1135000000,54200,Dầu,Tp.Hcm,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2024-6562835,2026-01-09
47,Honda,Crv,2024,1199000000,12400,Điện,Tp.Hcm,Trắng,Trắng,chotot,https://www.chotot.com/129491464.htm,2026-01-09
48,Mitsubishi,Pajero Sport,2024,1310000000,0,Dầu,Hà Nội,Bạc,Bạc,bonbanh,https://bonbanh.com/xe-mitsubishi-pajero-sport-3.0g-4x4-at-premium-2024-6347821,2026-01-09
49,Bmw,3 Series,2024,1479000000,10000,Điện,Hà Nội,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-bmw-3_series-320i-sport-line-2024-6548762,2026-01-09
50,Bmw,3 Series,2024,1799000000,100,Xăng,Tp.Hcm,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-bmw-3_series-330i-m-sport-2024-6303360,2026-01-09
51,Volkswagen,Viloran,2024,1950000000,3,Điện,Tp.Hcm,Đỏ,Đỏ,chotot,https://www.chotot.com/130179712.htm,2026-01-09
52,Mercedes-Benz,Glc,2024,1999000000,8000,Hybrid,Hà Nội,Đen,Đen,bonbanh,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2024-6374943,2026-01-09
53,Bmw,X5,2024,3800000000,1500,Xăng,Hà Nội,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-bmw-x5-xdrive40i-m-sport-2024-6470306,2026-01-09
54,Bmw,X5,2024,3857000000,0,Xăng,Hà Nội,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-bmw-x5-xdrive40i-m-sport-2024-5845671,2026-01-09
55,Mg,5,2023,210000000,90000,Xăng,Hà Nội,Unknown,Khác,otocomvn,https://oto.com.vn/mua-ban-xe-mg-5-ha-noi/jupiter-thanh-ly-aidxc23396969,2026-01-09
56,Mitsubishi,Attrage,2023,385000000,45000,Xăng,Khác,Hồng,Khác,otocomvn,https://oto.com.vn/mua-ban-xe-mitsubishi-attrage-hoa-binh/sieu-luot-45000km-aidxc23398032,2026-01-09
57,Toyota,Avanza,2023,430000000,80000,Xăng,Khác,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-toyota-avanza-premio-1.5-mt-2023-6442812,2026-01-09
58,Hyundai,Accent,2023,455000000,39000,Xăng,Tp.Hcm,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-hyundai-accent-1.4-at-2023-6558463,2026-01-09
59,Toyota,Vios,2023,470000000,17000,Xăng,Tp.Hcm,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2023-6614552,2026-01-09
60,Suzuki,Swift,2023,508000000,46000,Xăng,Bình Dương,Trắng,Trắng,bonbanh,https://bonbanh.com/xe-suzuki-swift-glx-1.2-at-2023-6593458,2026-01-09
61,Toyota,Veloz,2023,576000000,21000,Xăng,Tp.Hcm,Đỏ,Đỏ,bonbanh,https://bonbanh.com/xe-toyota-veloz-cross-top-1.5-cvt-2023-6595893,2026-01-09
