brand,model,year,price,mileage,fuel,location,color,source,crawl_date
Toyota,Wigo G,2025,395000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
MG,Standard,2025,395000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Mazda,1.5,2025,398000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Mazda,1.5,2025,399000000,0,Xăng,TP.HCM,Đỏ,bonbanh,2025-12-26
Mazda,1.5,2025,403000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Vios E,2025,403000000,0,Xăng,Hải Phòng,Trắng,bonbanh,2025-12-26
Mazda,1.5,2025,403000000,100,Xăng,Nghệ An,Trắng,bonbanh,2025-12-26
Toyota,Wigo G,2025,405000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Vios E,2025,410000000,0,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
Toyota,Vios E,2025,417000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,418000000,35000,Điện,Hưng Yên,Trắng,bonbanh,2025-12-26
MG,Luxury,2025,420000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Vios E,2025,420000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,i10 1.2,2025,422000000,100000,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
Toyota,Vios E,2025,425000000,0,Điện,Hà Nội,Đen,bonbanh,2025-12-26
Toyota,Vios E,2025,427000000,0,Xăng,Hà Nội,Đen,bonbanh,2025-12-26
Toyota,Vios E,2025,428000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,429000000,8000,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,429000000,9000,Điện,Hà Nội,Vàng,bonbanh,2025-12-26
Toyota,Vios E,2025,429000000,0,Xăng,Hải Phòng,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,430000000,31000,Điện,Khác,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,433000000,43000,Điện,Hà Nội,Đỏ,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,433000000,20000,Điện,Hà Nội,Đỏ,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,435000000,4000,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,435000000,27000,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Vios E,2025,435000000,0,Xăng,Khánh Hòa,Trắng,bonbanh,2025-12-26
Kia,Morning X-Line,2025,435000000,1500,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Vios E,2025,436000000,0,Xăng,Hải Phòng,Đen,bonbanh,2025-12-26
Toyota,Vios E,2025,438000000,0,Xăng,TP.HCM,Unknown,bonbanh,2025-12-26
MG,ZS Standard,2025,438000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,439000000,39000,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Mazda,Deluxe,2025,439000000,0,Dầu,Hà Nội,Trắng,bonbanh,2025-12-26
Kia,Morning AT,2025,439000000,0,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,439000000,2000,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Accent 1.5,2025,439000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,440000000,19000,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Honda,City G,2025,440000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Vios E,2025,440000000,0,Xăng,Khánh Hòa,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,440000000,130000,Điện,Hà Nội,Đỏ,bonbanh,2025-12-26
Toyota,Vios E,2025,443000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,445000000,40000,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Accent 1.5,2025,448000000,0,Xăng,Hải Phòng,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,448000000,23000,Điện,Hà Nội,Đỏ,bonbanh,2025-12-26
MG,ZS Standard,2025,450000000,0,Điện,Bắc Ninh,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,453000000,25000,Điện,TP.HCM,Đỏ,bonbanh,2025-12-26
Hyundai,Stargazer Tiêu,2025,453000000,0,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,453000000,23000,Điện,TP.HCM,Đỏ,bonbanh,2025-12-26
MG,ZS Standard,2025,455000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Vios E,2025,458000000,0,Xăng,Hà Nội,Đen,bonbanh,2025-12-26
Mazda,Deluxe,2025,459000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Accent 1.5,2025,460000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Mitsubishi,Xpander 1.5,2025,463000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Mitsubishi,Xpander 1.5,2025,465000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Geely,Coolray Standard,2025,465000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Vios G,2025,465000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,465000000,100,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
MG,Luxury,2025,465000000,0,Xăng,Bắc Ninh,Trắng,bonbanh,2025-12-26
Toyota,Vios E,2025,468000000,0,Xăng,Hà Nội,Đỏ,bonbanh,2025-12-26
Kia,Morning GT-Line,2025,469000000,0,Xăng,TP.HCM,Đỏ,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,469000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Mitsubishi,Xpander 1.5,2025,470000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,472000000,0,Điện,Hà Nội,Xám,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,473000000,0,Điện,Hà Nội,Xám,bonbanh,2025-12-26
Honda,City L,2025,474000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Honda,City L,2025,475000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Vios G,2025,475000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Accent 1.5,2025,475000000,2600,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
Geely,Coolray Standard,2025,475000000,0,Xăng,Hải Dương,Trắng,bonbanh,2025-12-26
Mazda,Luxury,2025,475000000,0,Xăng,TP.HCM,Đỏ,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,475000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Accent 1.5,2025,475000000,2650,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,475000000,300,Điện,Hà Nội,Xám,bonbanh,2025-12-26
Toyota,Raize G,2025,476000000,0,Xăng,Hải Phòng,Xanh,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,477000000,0,Điện,Hà Nội,Đỏ,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,478000000,0,Điện,Hà Nội,Đỏ,bonbanh,2025-12-26
Toyota,Raize G,2025,478000000,0,Xăng,Hà Nội,Vàng,bonbanh,2025-12-26
Vinfast,Herio Green,2025,479000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Accent Đặc,2025,479000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,480000000,0,Điện,Hà Nội,Xám,bonbanh,2025-12-26
Toyota,Vios G,2025,480000000,0,Điện,Hà Nội,Đỏ,bonbanh,2025-12-26
Mitsubishi,Xpander 1.5,2025,480000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Venue 1.0,2025,482000000,0,Xăng,Hà Nội,Bạc,bonbanh,2025-12-26
Toyota,Raize G,2025,482000000,0,Xăng,Hà Nội,Đỏ,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,482000000,0,Điện,Hà Nội,Xanh,bonbanh,2025-12-26
Hyundai,Accent Đặc,2025,483000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Honda,City L,2025,483000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
2025,Omoda,2025,485000000,0,Xăng,Hà Nội,Đỏ,bonbanh,2025-12-26
Toyota,Raize G,2025,485000000,0,Xăng,Hà Nội,Đen,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,485000000,0,Điện,TP.HCM,Xanh,bonbanh,2025-12-26
Toyota,Vios G,2025,485000000,0,Xăng,TP.HCM,Đen,bonbanh,2025-12-26
Kia,Sonet 1.5,2025,485000000,0,Xăng,TP.HCM,Xanh,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,486000000,0,Điện,TP.HCM,Đỏ,bonbanh,2025-12-26
Hyundai,Accent Đặc,2025,488000000,0,Xăng,Cần Thơ,Trắng,bonbanh,2025-12-26
Mazda,Luxury,2025,490000000,0,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
Toyota,Vios G,2025,490000000,0,Xăng,Hải Phòng,Trắng,bonbanh,2025-12-26
Hyundai,Venue 1.0,2025,492000000,0,Xăng,Đà Nẵng,Trắng,bonbanh,2025-12-26
Toyota,Vios G,2025,493000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
MG,G50 1.5,2025,495000000,0,Xăng,Bắc Ninh,Trắng,bonbanh,2025-12-26
