listing_id,listing_url,brand,model,year,price,mileage_v2,fuel,carcolor_name,region_name,crawled_at,source
129908676,https://www.chotot.com/mua-ban-o-to/129908676.htm,Daewoo,Lacetti,2009,125000000,150000,Xăng,xám,Vĩnh Phúc,2025-12-26 15:26:17,chotot
129919076,https://www.chotot.com/mua-ban-o-to/129919076.htm,Subaru,Forester,2025,799000000,,Xăng,,Bà Rịa - Vũng Tàu,2025-12-26 15:26:20,chotot
129916964,https://www.chotot.com/mua-ban-o-to/129916964.htm,Mitsubishi,Xpander,2019,425000000,85000,Xăng,trắng,Bà Rịa - Vũng Tàu,2025-12-26 15:26:20,chotot
129914974,https://www.chotot.com/mua-ban-o-to/129914974.htm,Kia,Dòng khác,2020,250000000,,Xăng,,Bà Rịa - Vũng Tàu,2025-12-26 15:26:20,chotot
129919349,https://www.chotot.com/mua-ban-o-to/129919349.htm,Mitsubishi,Xpander Cross,2023,598000000,3100,Xăng,,Bình Dương,2025-12-26 15:26:23,chotot
129918995,https://www.chotot.com/mua-ban-o-to/129918995.htm,Subaru,Crosstrek,2025,999000000,,Xăng,,Bình Dương,2025-12-26 15:26:23,chotot
129918027,https://www.chotot.com/mua-ban-o-to/129918027.htm,Mercedes Benz,E Class,2003,88000000,1,Xăng,,Bình Dương,2025-12-26 15:26:23,chotot
129917011,https://www.chotot.com/mua-ban-o-to/129917011.htm,Hyundai,Grand i10,2017,279000000,42000,Xăng,,Bình Dương,2025-12-26 15:26:23,chotot
129680560,https://www.chotot.com/mua-ban-o-to/129680560.htm,Toyota,Fortuner,2015,485000000,124548,Dầu,bạc,Bình Dương,2025-12-26 15:26:23,chotot
129824702,https://www.chotot.com/mua-ban-o-to/129824702.htm,Toyota,Vios,2009,108000000,124545,Xăng,bạc,Bình Dương,2025-12-26 15:26:23,chotot
129916573,https://www.chotot.com/mua-ban-o-to/129916573.htm,Kia,Sorento,2020,720000000,70000,Dầu,trắng,Bình Dương,2025-12-26 15:26:23,chotot
128895147,https://www.chotot.com/mua-ban-o-to/128895147.htm,Lexus,RX,2009,648000000,120000,Xăng,,Bình Dương,2025-12-26 15:26:23,chotot
129916178,https://www.chotot.com/mua-ban-o-to/129916178.htm,Honda,Accord,2008,60000000,99998,Xăng,trắng,Bình Dương,2025-12-26 15:26:23,chotot
129916135,https://www.chotot.com/mua-ban-o-to/129916135.htm,Chevrolet,Dòng khác,2009,40000000,321570,Xăng,,Bình Dương,2025-12-26 15:26:23,chotot
129292033,https://www.chotot.com/mua-ban-o-to/129292033.htm,Kia,Sedona,2019,730000000,80000,Dầu,trắng,Bình Dương,2025-12-26 15:26:23,chotot
129610491,https://www.chotot.com/mua-ban-o-to/129610491.htm,Kia,Sedona,2017,555000000,80000,Dầu,,Bình Dương,2025-12-26 15:26:23,chotot
129915662,https://www.chotot.com/mua-ban-o-to/129915662.htm,Toyota,Innova,2012,245000000,99000,Xăng,bạc,Bình Dương,2025-12-26 15:26:23,chotot
