listing_id,listing_url,brand,model,year,price,mileage_v2,fuel,carcolor_name,region_name,crawled_at,source
129892436,https://www.chotot.com/mua-ban-o-to/129892436.htm,Mazda,3,2009,189000000,17000,Xăng,đen,Vĩnh Phúc,2025-12-25 10:16:32,chotot
129889079,https://www.chotot.com/mua-ban-o-to/129889079.htm,Hyundai,Santa Fe,2025,1225000000,5800,Xăng,,Vĩnh Phúc,2025-12-25 10:16:32,chotot
129889076,https://www.chotot.com/mua-ban-o-to/129889076.htm,Honda,CR V,2023,985000000,5200,Xăng,,Vĩnh Phúc,2025-12-25 10:16:32,chotot
129889071,https://www.chotot.com/mua-ban-o-to/129889071.htm,Peugeot,5008,2025,1075000000,3000,Xăng,trắng,Vĩnh Phúc,2025-12-25 10:16:32,chotot
129885466,https://www.chotot.com/mua-ban-o-to/129885466.htm,Daewoo,Lacetti,2009,125000000,150000,Xăng,xám,Vĩnh Phúc,2025-12-25 10:16:32,chotot
129891254,https://www.chotot.com/mua-ban-o-to/129891254.htm,Chevrolet,Spark,2012,100000000,250000,Xăng,xanh,Bà Rịa - Vũng Tàu,2025-12-25 10:16:35,chotot
129890646,https://www.chotot.com/mua-ban-o-to/129890646.htm,Toyota,Innova,2018,468000000,25000,Xăng,,Bà Rịa - Vũng Tàu,2025-12-25 10:16:35,chotot
129565170,https://www.chotot.com/mua-ban-o-to/129565170.htm,Toyota,Innova,2008,175000000,420000,Xăng,vàng,Bà Rịa - Vũng Tàu,2025-12-25 10:16:37,chotot
129477732,https://www.chotot.com/mua-ban-o-to/129477732.htm,Mitsubishi,Attrage,2023,359000000,40000,Xăng,,Bình Dương,2025-12-25 10:16:38,chotot
129494823,https://www.chotot.com/mua-ban-o-to/129494823.htm,Mazda,6,2022,709000000,35000,Xăng,,Bình Dương,2025-12-25 10:16:38,chotot
129478134,https://www.chotot.com/mua-ban-o-to/129478134.htm,Ford,Transit,2023,599000000,80000,Dầu,,Bình Dương,2025-12-25 10:16:38,chotot
129891508,https://www.chotot.com/mua-ban-o-to/129891508.htm,Honda,Civic,2018,485000000,74000,Xăng,,Bình Dương,2025-12-25 10:16:38,chotot
128830814,https://www.chotot.com/mua-ban-o-to/128830814.htm,Toyota,Innova,2016,305000000,168000,Xăng,,Bình Dương,2025-12-25 10:16:38,chotot
129891456,https://www.chotot.com/mua-ban-o-to/129891456.htm,Ford,Ranger,2024,648000000,18000,Dầu,đen,Bình Dương,2025-12-25 10:16:38,chotot
129891414,https://www.chotot.com/mua-ban-o-to/129891414.htm,Ford,Everest,2009,265000000,145000,Dầu,bạc,Bình Dương,2025-12-25 10:16:38,chotot
129891356,https://www.chotot.com/mua-ban-o-to/129891356.htm,Mitsubishi,Xpander,2024,579000000,36000,Xăng,,Bình Dương,2025-12-25 10:16:38,chotot
129891105,https://www.chotot.com/mua-ban-o-to/129891105.htm,Kia,K5,2022,765000000,26000,Xăng,,Bình Dương,2025-12-25 10:16:38,chotot
129630269,https://www.chotot.com/mua-ban-o-to/129630269.htm,Mazda,CX 5,2017,479000000,80000,Xăng,,Bình Dương,2025-12-25 10:16:38,chotot
129259643,https://www.chotot.com/mua-ban-o-to/129259643.htm,Chevrolet,Aveo,2011,110000000,110000,Xăng,,Bình Dương,2025-12-25 10:16:38,chotot
129890412,https://www.chotot.com/mua-ban-o-to/129890412.htm,Nissan,Murano,2005,239000000,200000,Xăng,,Bình Dương,2025-12-25 10:16:38,chotot
128607854,https://www.chotot.com/mua-ban-o-to/128607854.htm,Kia,Sorento,2018,560000000,105000,Dầu,,Bình Dương,2025-12-25 10:16:38,chotot
129259883,https://www.chotot.com/mua-ban-o-to/129259883.htm,Toyota,Land Cruiser,2016,2750000000,160000,Xăng,,Bình Dương,2025-12-25 10:16:38,chotot
129148804,https://www.chotot.com/mua-ban-o-to/129148804.htm,Chevrolet,Spark,2009,50000000,100000,Xăng,,Bình Dương,2025-12-25 10:16:38,chotot
129120370,https://www.chotot.com/mua-ban-o-to/129120370.htm,Hyundai,Solati,2019,725000000,78000,Dầu,,Bình Dương,2025-12-25 10:16:38,chotot
127394807,https://www.chotot.com/mua-ban-o-to/127394807.htm,Toyota,Yaris,2011,140000000,146,Xăng,,Bình Dương,2025-12-25 10:16:38,chotot
129791620,https://www.chotot.com/mua-ban-o-to/129791620.htm,Kia,Sorento,2013,345000000,117000,Xăng,,Bình Dương,2025-12-25 10:16:38,chotot
129564931,https://www.chotot.com/mua-ban-o-to/129564931.htm,Volkswagen,Touareg,2016,770000000,85000,Xăng,,Bình Dương,2025-12-25 10:16:38,chotot
129164346,https://www.chotot.com/mua-ban-o-to/129164346.htm,Mazda,CX 5,2018,595000000,95000,Xăng,,Bình Dương,2025-12-25 10:16:38,chotot
123946469,https://www.chotot.com/mua-ban-o-to/123946469.htm,Chevrolet,Cruze,2017,230000000,99000,Xăng,,Bình Dương,2025-12-25 10:16:40,chotot
129886913,https://www.chotot.com/mua-ban-o-to/129886913.htm,Toyota,Innova,2015,275000000,123456,Xăng,,Bình Dương,2025-12-25 10:16:40,chotot
128506620,https://www.chotot.com/mua-ban-o-to/128506620.htm,Suzuki,Dòng khác,2016,136000000,99999,Xăng,,Bình Dương,2025-12-25 10:16:40,chotot
129886797,https://www.chotot.com/mua-ban-o-to/129886797.htm,Chevrolet,Cruze,2013,195000000,123456,Xăng,vàng,Bình Dương,2025-12-25 10:16:40,chotot
125030758,https://www.chotot.com/mua-ban-o-to/125030758.htm,Chevrolet,Spark,2011,5500000,60,Xăng,,Bình Dương,2025-12-25 10:16:40,chotot
129892208,https://www.chotot.com/mua-ban-o-to/129892208.htm,Toyota,Vios,2007,62000000,99999,Xăng,bạc,Đồng Nai,2025-12-25 10:16:45,chotot
129891517,https://www.chotot.com/mua-ban-o-to/129891517.htm,Audi,Q7,2015,225000000,100000,Xăng,,Đồng Nai,2025-12-25 10:16:45,chotot
129891037,https://www.chotot.com/mua-ban-o-to/129891037.htm,Mercedes Benz,E Class,2003,90000000,185000,Xăng,đen,Đồng Nai,2025-12-25 10:16:45,chotot
129728281,https://www.chotot.com/mua-ban-o-to/129728281.htm,Kia,Morning,2019,245000000,130000,Xăng,,Đồng Nai,2025-12-25 10:16:45,chotot
129888859,https://www.chotot.com/mua-ban-o-to/129888859.htm,Honda,HR-V,2019,469000000,101000,Xăng,trắng,Đồng Nai,2025-12-25 10:16:45,chotot
129888109,https://www.chotot.com/mua-ban-o-to/129888109.htm,Honda,Civic,2021,530000000,73000,Xăng,xanh đen,Đồng Nai,2025-12-25 10:16:45,chotot
129891860,https://www.chotot.com/mua-ban-o-to/129891860.htm,Toyota,Innova,2014,285000000,123456,Xăng,,Tây Ninh,2025-12-25 10:16:48,chotot
129886317,https://www.chotot.com/mua-ban-o-to/129886317.htm,Kia,Morning,2011,172000000,79000,Xăng,trắng,Tây Ninh,2025-12-25 10:16:48,chotot
115108644,https://www.chotot.com/mua-ban-o-to/115108644.htm,Kia,Cerato,2019,600000000,12345,Xăng,,Quảng Nam,2025-12-25 10:16:51,chotot
129140324,https://www.chotot.com/mua-ban-o-to/129140324.htm,Toyota,Previa,1990,90000000,100000,Xăng,,Đà Nẵng,2025-12-25 10:16:55,chotot
129892348,https://www.chotot.com/mua-ban-o-to/129892348.htm,Kia,Sedona,2015,515000000,150000,Dầu,,Đà Nẵng,2025-12-25 10:16:55,chotot
129709567,https://www.chotot.com/mua-ban-o-to/129709567.htm,Mercedes Benz,E Class,2018,850000000,70000,Xăng,,Đà Nẵng,2025-12-25 10:16:55,chotot
129586037,https://www.chotot.com/mua-ban-o-to/129586037.htm,Hyundai,Tucson,2009,310000000,95000,Dầu,,Đà Nẵng,2025-12-25 10:16:55,chotot
129892191,https://www.chotot.com/mua-ban-o-to/129892191.htm,Toyota,Corolla Altis,2008,250000000,110000,Xăng,,Đà Nẵng,2025-12-25 10:16:55,chotot
129487955,https://www.chotot.com/mua-ban-o-to/129487955.htm,VinFast,Lux A2.0,2021,495000000,50000,Xăng,,Đà Nẵng,2025-12-25 10:16:55,chotot
129892066,https://www.chotot.com/mua-ban-o-to/129892066.htm,Chery,QQ3,2009,65000000,800000,Xăng,,Đà Nẵng,2025-12-25 10:16:55,chotot
129892049,https://www.chotot.com/mua-ban-o-to/129892049.htm,Hyundai,Grand i10,2021,359000000,48000,Xăng,,Đà Nẵng,2025-12-25 10:16:55,chotot
