listing_id,listing_url,brand,model,year,price,mileage_v2,fuel,carcolor_name,region_name,crawled_at,source,car_age,brand_model
129933976,https://www.chotot.com/mua-ban-o-to/129933976.htm,Mazda,CX 5,2017,468000000,100000.0,Xăng,Unknown,Đồng Nai,2025-12-27 13:03:14,chotot,9,Mazda CX 5
129516196,https://www.chotot.com/mua-ban-o-to/129516196.htm,Hyundai,i20,2014,205000000,104000.0,Xăng,Unknown,Đồng Nai,2025-12-27 13:03:14,chotot,12,Hyundai i20
129492263,https://www.chotot.com/mua-ban-o-to/129492263.htm,Hyundai,Grand i10,2024,435000000,2000.0,Xăng,Unknown,Đồng Nai,2025-12-27 13:03:14,chotot,2,Hyundai Grand i10
129933064,https://www.chotot.com/mua-ban-o-to/129933064.htm,Chevrolet,Spark,2018,128000000,52028.0,Xăng,xanh,Đồng Nai,2025-12-27 13:03:14,chotot,8,Chevrolet Spark
129545910,https://www.chotot.com/mua-ban-o-to/129545910.htm,Kia,K3,2015,345000000,42000.0,Xăng,Unknown,Đồng Nai,2025-12-27 13:03:14,chotot,11,Kia K3
129932908,https://www.chotot.com/mua-ban-o-to/129932908.htm,Ford,Everest,2008,205000000,230000.0,Dầu,Unknown,Đồng Nai,2025-12-27 13:03:14,chotot,18,Ford Everest
129492322,https://www.chotot.com/mua-ban-o-to/129492322.htm,Mitsubishi,Xpander,2023,495000000,52000.0,Xăng,Unknown,Đồng Nai,2025-12-27 13:03:14,chotot,3,Mitsubishi Xpander
129931553,https://www.chotot.com/mua-ban-o-to/129931553.htm,Ford,Everest,2009,219000000,380.0,Dầu,Unknown,Đồng Nai,2025-12-27 13:03:14,chotot,17,Ford Everest
129931454,https://www.chotot.com/mua-ban-o-to/129931454.htm,Toyota,Corolla Altis,2012,315000000,16.0,Xăng,Unknown,Đồng Nai,2025-12-27 13:03:14,chotot,14,Toyota Corolla Altis
129930326,https://www.chotot.com/mua-ban-o-to/129930326.htm,BMW,3 Series,2009,230000000,119000.0,Xăng,bạc,Đồng Nai,2025-12-27 13:03:14,chotot,17,BMW 3 Series
129930107,https://www.chotot.com/mua-ban-o-to/129930107.htm,Toyota,Camry,2019,780000000,61000.0,Xăng,cam,Đồng Nai,2025-12-27 13:03:14,chotot,7,Toyota Camry
129929391,https://www.chotot.com/mua-ban-o-to/129929391.htm,Toyota,Camry,2019,780000000,61000.0,Xăng,cam,Đồng Nai,2025-12-27 13:03:14,chotot,7,Toyota Camry
129929279,https://www.chotot.com/mua-ban-o-to/129929279.htm,Honda,Brio,2020,345000000,69000.0,Xăng,cam,Đồng Nai,2025-12-27 13:03:14,chotot,6,Honda Brio
129929187,https://www.chotot.com/mua-ban-o-to/129929187.htm,Honda,Brio,2020,345000000,69000.0,Xăng,cam,Đồng Nai,2025-12-27 13:03:14,chotot,6,Honda Brio
129928677,https://www.chotot.com/mua-ban-o-to/129928677.htm,Hyundai,Accent,2018,340000000,79000.0,Xăng,Unknown,Đồng Nai,2025-12-27 13:03:14,chotot,8,Hyundai Accent
129921240,https://www.chotot.com/mua-ban-o-to/129921240.htm,Kia,Morning,2016,252000000,10000.0,Xăng,Unknown,Đồng Nai,2025-12-27 13:03:14,chotot,10,Kia Morning
128085169,https://www.chotot.com/mua-ban-o-to/128085169.htm,Kia,Sedona,2018,636000000,150000.0,Dầu,Unknown,Đồng Nai,2025-12-27 13:03:14,chotot,8,Kia Sedona
129226858,https://www.chotot.com/mua-ban-o-to/129226858.htm,VinFast,Lux A2.0,2020,495000000,74000.0,Xăng,Unknown,Đồng Nai,2025-12-27 13:03:14,chotot,6,VinFast Lux A2.0
129925523,https://www.chotot.com/mua-ban-o-to/129925523.htm,Kia,Carnival,2022,1160000000,60000.0,Dầu,Unknown,Đồng Nai,2025-12-27 13:03:14,chotot,4,Kia Carnival
129925383,https://www.chotot.com/mua-ban-o-to/129925383.htm,Hyundai,Santa Fe,2022,1150000000,70000.0,Điện,Unknown,Đồng Nai,2025-12-27 13:03:14,chotot,4,Hyundai Santa Fe
129925297,https://www.chotot.com/mua-ban-o-to/129925297.htm,Daewoo,Lacetti,2005,70000000,123456.0,Xăng,đen,Đồng Nai,2025-12-27 13:03:14,chotot,21,Daewoo Lacetti
129924811,https://www.chotot.com/mua-ban-o-to/129924811.htm,Chevrolet,Captiva,2009,179000000,100000.0,Dầu,đen,Đồng Nai,2025-12-27 13:03:14,chotot,17,Chevrolet Captiva
