brand,model,year,price,mileage,fuel,location,color,source,crawl_date,url
Mercedes,G63 4Matic,2021,7500000000,22000,Xăng,TP.HCM,Be,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-mercedes-benz-amg-g-63-hcm/mercedes-amg-g63-4matic-model-2021-aidxc23398655
Mitsubishi,Cross 1.5,2020,490000000,15000,Xăng,TP.HCM,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-cross-hcm/luot-15000-km-xe-gia-dinh-it-di-aidxc23399071
Ford,Raptor -,2020,965000000,60000,Dầu,TP.HCM,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-ford-ranger-raptor-hcm/raptor-2020-bien-a-ko-nien-han-xe-luot-60000km-zin-100-bao-test-aidxc23145611
Jeep,Wrangler,2020,2299000000,18000,Xăng,TP.HCM,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-jeep-wrangler-hcm/bieu-tuong-off-road-dich-thuc-danh-cho-gioi-choi-xe-aidxc23398800
Ford,AT,2014,395000000,103000,Điện,TP.HCM,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-ford-everest-hcm/xe-gd-it-di-con-moi-nguyen-zin-bao-test-hang-xe-gam-cao-may-khoe-co-phu-ken-di-kem-con-dang-kiem-aidxc23399003
Vinfast,Tiêu Chuẩn,2020,305000000,30000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-vinfast-fadil-ha-noi/ban-base-chay-3van-aidxc23398555
Kia,AT -,2015,179000000,150000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-kia-morning-ha-noi/so-tu-dong-nhap-khau-han-quoc-aidxc23399004
Ford,- FORD,2020,725000000,80000,Dầu,TP.HCM,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/wildtrak-12021-biturbo-2-cau1-chu-di-ky-aidxc23393298
Kia,- Kia,2024,360000000,65000,Dầu,Khác,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-kia-k200-thua-thien-hue/k149-aidxc23398973
Toyota,Altis 1.8,2017,448000000,120000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-ha-noi/can-ban-xe-dep-check-test-thoai-mai-aidxc23351693
Ford,- Ford,2016,290000000,140000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-ford-ecosport-ha-noi/2016-aidxc23398539
Kia,DAT,2021,899000000,152000,Dầu,TP.HCM,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-kia-sorento-hcm/ban-xe-signature-22d-2021-aidxc23399225
Chevrolet,- Chevrolet,2010,115000000,0,Điện,Hà Nội,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-chevrolet-lacetti-ha-noi/2010-aidxc23398480
BMW,Convertible -,2023,2999000000,14000,Xăng,TP.HCM,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-bmw-430i-hcm/sieu-pham-mui-tran-doc-nhat-viet-nam-2024-aidxc23398898
Mazda,AT,2020,360000000,70000,Dầu,Hà Nội,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-mazda-bt-50-ha-noi/du-ho-so-sang-ten-aidxc23364292
Ford,XLT 2.3,2004,95000000,153000,Xăng,Cần Thơ,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-ford-escape-can-tho/ban-23-2004-aidxc23399096
Ford,XLS 2.2,2020,490000000,90000,Dầu,Hà Nội,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-ford-ranger-ha-noi/xe-nhap-khau-dep-gia-tot-sang-ten-ngay-aidxc23289330
Toyota,G AT,2020,390000000,90000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-toyota-vios-ha-noi/xe-dep-tai-chu-giu-gin-aidxc23364830
Toyota,- Đủ,2008,310000000,90000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-toyota-rav4-ha-noi/du-ho-so-sang-ten-xe-dep-gia-tot-aidxc23325461
Nissan,VL 2.5,2019,485000000,120000,Dầu,Hà Nội,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-nissan-navara-ha-noi/xe-1-chu-tu-moi-di-rat-gu-gin-bao-duong-dinh-ky-aidxc23386924
Ford,XLS 2.2,2020,500000000,86000,Dầu,TP.HCM,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/2020-so-sanxe-gia-dinh-di-rat-ky-aidxc23393299
Kia,G Signature,2022,1179000000,73000,Xăng,TP.HCM,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-kia-carnival-hcm/mpv-gia-dinh-cao-cap-gia-cuc-tot-aidxc23398943
Mitsubishi,- Bán,2003,75000000,370000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-ha-noi/ban-xe-aidxc23398647
Ford,L -,2009,105000000,150000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-ford-focus-ha-noi/ban-xe-oto-sedan-gia-dinh-5-cho-hieu-may-xang-18-so-san-tiet-kiem-nhien-lieu-aidxc23399297
Ford,Wildtrak 2.2,2019,560000000,110000,Dầu,Hà Nội,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-ford-ranger-ha-noi/xe-dep-tai-du-ho-so-sang-ten-aidxc23384435
Toyota,- Toyota,2023,490000000,90000,Xăng,Thái Nguyên,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-toyota-veloz-thai-nguyen/2023-tai-aidxc23398618
Mercedes,4Matic,2022,4139000000,38000,Xăng,Hà Nội,Đỏ,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-mercedes-benz-gls-450-ha-noi/xe-luot-odo-thap-bao-hanh-chinh-hang-aidxc23396667
Mercedes,Luxury -,2021,1599000000,69000,Xăng,Hà Nội,Be,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-mercedes-benz-v250-ha-noi/xe-7-cho-cao-cap-da-qua-su-dung-aidxc23397117
Porsche,tiêu chuẩn,2023,3489000000,7800,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-porsche-macan-ha-noi/xe-suv-cao-cap-2023-con-bao-hanh-chinh-hang-aidxc23384805
Porsche,- Sẵn,2016,1589000000,98000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02,https://oto.com.vn/mua-ban-xe-porsche-macan-ha-noi/san-nang-cap-full-phien-ban-2020-aidxc23384791
