brand,model,year,price,mileage,fuel,location,color,source,crawl_date,url
Kia,Sedona,2015,458000000,96379,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130180536.htm
Other,Other,2021,325000000,2,Xăng,Kiên Giang,Đỏ,chotot,2026-01-09,https://www.chotot.com/129461955.htm
Ford,Laser,2005,120000000,150000,Điện,TP.HCM,Đen,chotot,2026-01-09,https://www.chotot.com/122743093.htm
Other,Other,2021,315000000,52000,Xăng,Cần Thơ,Trắng,chotot,2026-01-09,https://www.chotot.com/130074930.htm
Toyota,Cressida,1996,60000000,50000,Điện,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/130180488.htm
Toyota,Vios,2023,470000000,17000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130180479.htm
Mazda,6,2016,395000000,110000,Điện,TP.HCM,Đen,chotot,2026-01-09,https://www.chotot.com/130111189.htm
Kia,Sedona,2021,695000000,103800,Điện,TP.HCM,Đen,chotot,2026-01-09,https://www.chotot.com/130169319.htm
Other,Other,2010,330000000,12345,Điện,Đà Nẵng,Đỏ,chotot,2026-01-09,https://www.chotot.com/115108108.htm
Ford,Transit,2024,650000000,50000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130180357.htm
VinFast,Lux,2021,499000000,77000,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130139909.htm
Other,Other,2016,295000000,120000,Xăng,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/126896038.htm
Mazda,Bán,2020,485000000,78000,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130180284.htm
Chevrolet,Aveo,2016,168000000,62000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129765528.htm
Kia,Carens,2009,185000000,100,Điện,Hải Phòng,Trắng,chotot,2026-01-09,https://www.chotot.com/129863020.htm
Other,Other,2017,650000000,108350,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130180232.htm
Other,Other,2014,286000000,1000,Điện,Đồng Nai,Đen,chotot,2026-01-09,https://www.chotot.com/130103493.htm
Other,Other,2019,200000000,130000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130180192.htm
Mercedes-Benz,Glk,2009,339000000,90000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129969298.htm
Honda,Cr V,2023,980000000,16000,Xăng,Đồng Nai,Trắng,chotot,2026-01-09,https://www.chotot.com/130139332.htm
Ford,Focus,2010,359000000,8,Điện,Khác,Đỏ,chotot,2026-01-09,https://www.chotot.com/129848109.htm
Lexus,Ls,2020,1580000000,40000,Xăng,Hà Nội,Trắng,chotot,2026-01-09,https://www.chotot.com/130179918.htm
Toyota,Camry,2022,1050000000,35000,Điện,Cần Thơ,Trắng,chotot,2026-01-09,https://www.chotot.com/130180094.htm
Toyota,Innova,2023,585000000,104000,Điện,Lâm Đồng,Trắng,chotot,2026-01-09,https://www.chotot.com/129802637.htm
Other,Other,2027,271060000,0,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130161252.htm
Mazda,Cx 5,2025,814000000,0,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130180066.htm
VinFast,Vf 5,2025,497000000,0,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130180058.htm
Ford,Ranger,2022,720000000,80000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129901643.htm
Land Rover,Landrover,2015,1480000000,100000,Điện,Hà Nội,Đen,chotot,2026-01-09,https://www.chotot.com/130180051.htm
Subaru,Forester,2022,738000000,46000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130180038.htm
Kia,K3,2021,479000000,56000,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130180004.htm
Honda,Hrv,2010,699000000,0,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/128781738.htm
Mazda,Cx 30,2025,729000000,0,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130179977.htm
Mercedes-Benz,Gle450,2020,2499000000,30000,Xăng,Đà Nẵng,Đỏ,chotot,2026-01-09,https://www.chotot.com/129143829.htm
