brand,model,year,price,mileage,fuel,location,color,source,crawl_date,url
Mercedes-Benz,E250,2014,428000000,140000,Xăng,Hải Dương,Be,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-mercedes-benz-e250-hai-duong/xe-cuc-dep-day-du-ho-so-sang-ten-aidxc23400098
Ford,Transit,2019,410000000,100000,Dầu,Khác,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-ford-transit-vinh-phuc/xe-dep-gia-tot-cuc-chat-aidxc23381745
Ford,Transit,2014,320000000,150000,Dầu,Khác,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-ford-transit-vinh-phuc/xem-xe-tai-gia-tot-sang-ten-ngay-aidxc23380818
Kia,Cerato,2019,465000000,86000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-kia-cerato-ha-noi/bien-thai-binh-aidxc23399584
Kia,Sedona,2021,825000000,120000,Dầu,Hà Nội,Đỏ,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-kia-sedona-ha-noi/bien-aidxc23389149
Lexus,Rx,2019,2660000000,120000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-lexus-rx-350-ha-noi/gia-re-aidxc23399940
Mercedes-Benz,C300,2021,1230000000,22000,Xăng,Hà Nội,Be,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-mercedes-benz-c300-ha-noi/can-ban-aidxc23399912
Honda,Cr V,2024,1270000000,35000,Điện,Hà Nội,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-honda-cr-v-ha-noi/gia-hop-ly-aidxc23399163
Audi,Q5,2024,1950000000,19000,Xăng,Hà Nội,Xanh,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-audi-q5-ha-noi/xe-suv-cao-cap-mau-xanh-dep-lan-banh-it-aidxc23398701
Mercedes-Benz,C200,2014,365000000,120000,Xăng,Hà Nội,Be,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-mercedes-benz-c200-ha-noi/chinh-chu-ban-aidxc23398698
Mercedes-Benz,E200,2019,1239000000,31000,Xăng,TP.HCM,Be,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-mercedes-benz-e200-hcm/mercedes-sport-limited-chi-200-chiec-toan-quoc-aidxc23399964
Porsche,Macan,2017,1420000000,50000,Xăng,TP.HCM,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-porsche-macan-hcm/1-chu-xe-nha-toan-trum-men-it-su-dung-con-rat-moi-bao-hiem-2c-ngay-chu-dung-ten-aidxc23356102
Mercedes-Benz,Glc,2021,1229000000,49000,Xăng,Hà Nội,Be,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-200-ha-noi/xe-sang-trong-lich-su-chat-luong-cao-aidxc23398581
Toyota,Camry,2013,415000000,100000,Xăng,Khác,Cam,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-toyota-camry-phu-tho/xe-sedan-cao-cap-san-xuat-2013-van-hanh-em-ai-aidxc23379675
Honda,Hr V,2022,695000000,60000,Xăng,Khác,Xám,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-honda-hr-v-phu-tho/suv-gam-cao-5-cho-full-tien-nghi-zin-tuyet-doi-aidxc23387608
Toyota,Corolla Altis,2011,290000000,100000,Xăng,Khác,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-vinh-phuc/du-ho-so-sang-ten-gia-tot-tai-aidxc23380361
Lexus,Gx,2016,2300000000,68000,Xăng,TP.HCM,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-lexus-gx-460-hcm/model-2016-aidxc23318552
Toyota,Innova,2015,275000000,90000,Xăng,Khác,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-toyota-innova-vinh-phuc/du-ho-so-xe-dep-gia-tot-thuong-luong-aidxc23380363
MG,Zs,2024,455000000,12000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-mg-zs-ha-noi/sieu-luot-12000km-mot-chu-mua-moi-tu-hang-aidxc23397999
Mitsubishi,Xpander,2025,510000000,30000,Xăng,Khác,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-vinh-phuc/xe-dep-xem-xe-tai-aidxc23391668
Toyota,Previa,2010,580000000,90000,Điện,TP.HCM,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-toyota-previa-hcm/hang-nhap-suu-tam-rat-hiem-sx-den-2020-khong-con-sx-nua-xe-nha-trum-men-con-rat-moi-aidxc23392946
Toyota,Avanza,2024,455000000,56000,Xăng,Khác,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-toyota-avanza-premio-phu-tho/mpv-7-cho-rong-rai-sieu-luot-chat-xe-cuc-dep-aidxc23399694
Toyota,Corolla Altis,2018,475000000,90000,Xăng,Khác,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-phu-tho/sieu-luot-1-chu-xe-dep-xuat-sac-keo-chi-nguyen-zin-aidxc23397685
Toyota,Fortuner,2014,465000000,140000,Xăng,Hà Nội,Đỏ,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/odo-14-van-km-aidxc23397004
Ford,Ranger,2023,600000000,67000,Dầu,Hà Nội,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-ford-ranger-ha-noi/ban-xe-chinh-chu-chua-va-cham-ngap-nuoc-gia-hop-ly-aidxc23399167
Ford,Ranger,2016,465000000,200000,Dầu,Khác,Be,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-ford-ranger-phu-tho/ban-tai-the-thao-van-hang-ben-bi-aidxc23388732
Toyota,Land Cruiser,2023,2960000000,48000,Xăng,Hà Nội,Đỏ,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-toyota-land-cruiser-prado-ha-noi/xe-rong-rai-tien-loi-aidxc23398694
Hyundai,Santa Fe,2020,860000000,85000,Dầu,Hà Nội,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-hyundai-santa-fe-ha-noi/xe-dau-manh-me-tiet-kiem-nhien-lieu-aidxc23399612
Mercedes-Benz,C200,2014,385000000,110000,Xăng,Hà Nội,Be,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-mercedes-benz-c200-ha-noi/ban-chot-nhieu-tinh-nang-gia-mem-aidxc23266149
Kia,Carnival,2022,1179000000,73000,Xăng,TP.HCM,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-kia-carnival-hcm/mpv-gia-dinh-cao-cap-gia-cuc-tot-aidxc23398943
Toyota,Camry,2010,280000000,90000,Xăng,Khác,Cam,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-toyota-camry-vinh-phuc/xe-cuc-chat-chu-di-giu-gin-aidxc23380822
Mercedes-Benz,S450L,2021,2400000000,39000,Xăng,TP.HCM,Be,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-mercedes-benz-s-450l-hcm/mercedes-s450l-limited-edition-model-2021-aidxc23377083
Kia,Soul,2014,405000000,50000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-kia-soul-ha-noi/xe-so-tu-dong-san-xuat-2014-chat-luong-nhu-moi-aidxc23399054
Mercedes-Benz,Glc,2022,1839000000,21000,Xăng,TP.HCM,Đỏ,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-300-hcm/xe-luot-odo-thap-gia-cuc-tot-aidxc23399822
Kia,Carens,2023,617000000,10000,Xăng,TP.HCM,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-kia-carens-hcm/bao-hanh-len-den-6-thang-hoac-10000-km-aidxc23398680
Chevrolet,Lacetti,2013,165000000,150000,Điện,Khác,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-chevrolet-lacetti-phu-tho/sedan-5-cho-gia-re-may-so-ngon-than-vo-chac-chan-aidxc23003420
Hyundai,Grand I10,2014,122000000,110000,Xăng,Nghệ An,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-hyundai-grand-i10-nghe-an/xe-chat-gia-yeu-aidxc23400025
