brand,model,year,price,mileage,fuel,location,color,source,crawl_date,url
Lexus,Gx,2007,650000000,160000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-lexus-gx-470-ha-noi/xe-dep-chinh-chu-di-giu-gin-nhap-nhat-aidxc23399896
Mercedes-Benz,E300,2020,1439000000,38000,Xăng,TP.HCM,Be,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-mercedes-benz-e300-hcm/mercedes-amg-2020-luot-nhe-cuc-dep-aidxc23399431
Hyundai,Accent,2011,235000000,116000,Xăng,Bình Dương,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-hyundai-accent-binh-duong/xe-gia-dinh-su-dung-ky-chat-luong-con-tot-aidxc23399863
Toyota,Innova,2015,262000000,130000,Xăng,Hưng Yên,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-toyota-innova-hung-yen/xe-tu-nhan-ho-so-cam-tay-xe-dep-khong-loi-may-so-keo-chi-zin-noi-ngoai-that-dep-aidxc23398813
Hyundai,Grand I10,2018,280000000,130000,Xăng,Hưng Yên,Bạc,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-hyundai-grand-i10-hung-yen/xe-chat-khong-loi-nho-may-so-keo-chi-than-vo-zin-da-co-man-hinh-aidxc23398666
Suzuki,Super,2021,210000000,55000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-suzuki-super-carry-pro-ha-noi/xe-dep-gia-tot-aidxc23397772
Mercedes-Benz,Glc,2017,899000000,12000,Xăng,Hà Nội,Be,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-300-ha-noi/-aidxc23399953
Hyundai,Creta,2023,588000000,13000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-hyundai-creta-ha-noi/2023-aidxc23399246
Other,Other,2007,2950000000,65000,Xăng,TP.HCM,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-hummer-h2-hcm/dk-moi-2010-zin-1oo-aidxc23396134
Hyundai,Grand I10,2022,265000000,60000,Xăng,Khác,Bạc,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-hyundai-grand-i10-phu-tho/hatback-chat-luong-khung-vo-cung-cap-xe-zin-100-aidxc23387341
Hyundai,Santa Fe,2009,365000000,200000,Dầu,Khác,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-hyundai-santa-fe-phu-tho/7-cho-may-dau-nhap-khau-nguyen-chiec-aidxc23342543
Ford,Ranger,2017,535000000,100000,Dầu,Khác,Unknown,otocomvn,2026-01-09,https://oto.com.vn/mua-ban-xe-ford-ranger-phu-tho/ban-tai-chat-luong-cao-kieu-dang-the-thao-aidxc23334783
