brand,model,year,price,mileage,fuel,location,color,source,crawl_date,url
Hyundai,Santafe,2022,1129000000,80000,Dầu,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2022-6598507
Hyundai,Tucson,2021,699000000,50000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-tucson-2.0-at-dac-biet-2021-6582627
Peugeot,3008,2019,595000000,70000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-peugeot-3008-1.6-at-2019-6556257
Mitsubishi,Outlander,2024,779000000,30000,Điện,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-mitsubishi-outlander-premium-2.0-cvt-2024-6607026
Mitsubishi,Triton,2025,715000000,0,Dầu,Hà Nội,Unknown,bonbanh,2026-01-09,https://bonbanh.com/xe-mitsubishi-triton-premium-2wd-at-2025-6615132
Hyundai,Santafe,2019,780000000,68000,Xăng,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-santafe-premium-2.4l-htrac-2019-6606938
Hyundai,Santafe,2005,165000000,180000,Dầu,Hà Nội,Bạc,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-santafe-gold-2.0-at-2005-6615128
Suzuki,Grand Vitara,2003,170000000,190000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-suzuki-grand_vitara-xl-7-2003-6442989
Other,Other,2009,475000000,15678,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-acura-zdx-sh-awd-2009-6568521
Suzuki,Swift,2021,445000000,51000,Xăng,Hà Nội,Xanh,bonbanh,2026-01-09,https://bonbanh.com/xe-suzuki-swift-glx-1.2-at-2021-6610812
Mercedes-Benz,S Class,2017,-1344967296,80000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-s_class-s450-4matic-maybach-2017-6481019
Kia,Sorento,2018,500000000,105000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-kia-sorento-gath-2018-6598371
Ford,Territory,2023,770000000,37000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-ford-territory-titanium-1.5-at-2023-6600203
Hyundai,Santafe,2025,1069000000,120000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-santafe-prestige-2.5l-htrac-2025-6559842
Other,Other,2016,265000000,60000,Xăng,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-renault-sandero-stepway-1.6-at-2016-6537429
Mercedes-Benz,S Class,2016,1200000000,0,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2016-6477917
Land Rover,Landrover,2018,-2114967296,63000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-landrover-range_rover_velar-r-dynamic-2.0-2018-6284247
Kia,Sportage,2025,828000000,6000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-kia-sportage-premium-2.0g-2025-6479098
Hyundai,Accent,2018,375000000,91000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-accent-1.4-ath-2018-6615121
Kia,Optima,2017,450000000,110000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-kia-optima-2.0-ath-2017-6568481
Toyota,Prado,2018,1888000000,100000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-prado-vx-2.7l-2018-6595732
Porsche,Panamera,2018,-115967296,4700,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-porsche-panamera-3.0-v6-2018-6614705
Mercedes-Benz,S Class,2022,-395967296,800,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-s_class-s450-luxury-2022-6611674
VinFast,Vf 8,2023,660000000,38000,Điện,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6556319
Mercedes-Benz,V Class,2021,1690000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-v_class-v250-luxury-2021-6413679
Ford,Territory,2025,856000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-ford-territory-titanium-x-1.5-at-2025-6387802
Ford,Everest,2025,1185000000,0,Điện,TP.HCM,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-ford-everest-sport-2.0l-4x2-at-2025-5581450
Mercedes-Benz,Glc,2021,1590000000,30000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-6595844
BMW,5 Series,2017,863000000,60000,Xăng,TP.HCM,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-bmw-5_series-528i-gt-2017-6350355
Lexus,Lx,2025,400065408,10000,Xăng,Hà Nội,Bạc,bonbanh,2026-01-09,https://bonbanh.com/xe-lexus-lx-600-urban-2025-6613499
Mercedes-Benz,Glc,2018,1050000000,70000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2018-6613528
Mercedes-Benz,Gls,2022,-154967296,38000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-gls-450-4matic-2022-6613540
Toyota,Land Cruiser,2019,-344967296,100000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-land_cruiser-4.6-v8-2019-6595100
Chevrolet,Spark,2017,145000000,140,Điện,Khác,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-chevrolet-spark-duo-van-1.2-mt-2017-6615104
Hyundai,Veracruz,2007,285000000,1368000,Dầu,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-veracruz-3.0-v6-2007-6604044
VinFast,Vf 8,2023,714000000,43850,Điện,TP.HCM,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6584455
Hyundai,Tucson,2026,915000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-htrac-dac-biet-2026-6612970
Hyundai,Tucson,2025,885000000,0,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-htrac-dac-biet-2025-6612893
Toyota,Corolla Altis,2009,268000000,112856,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2009-6578972
Mazda,Cx 5,2025,742000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2025-5082771
Hyundai,Tucson,2026,820000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-tucson-2.0-at-dac-biet-2026-6613063
Hyundai,Santafe,2025,1186000000,0,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-santafe-calligraphy-2.5l-turbo-htrac-2025-6614431
Hyundai,Santafe,2025,1045000000,120000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-santafe-prestige-2.5l-htrac-2025-6614372
Toyota,Alphard,2014,1350000000,120000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-alphard-3.5-v6-2014-6601193
Toyota,Alphard,2014,1350000000,120000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-alphard-3.5-v6-2014-6601193
Volvo,S90,2023,1579000000,0,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-volvo-s90-lwb-ultimate-b6-awd-2023-6548903
Mercedes-Benz,C Class,2014,385000000,110000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2014-6484740
Mazda,2,2024,515000000,8500,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-mazda-2-sport-luxury-2024-6114986
Toyota,Corolla Altis,2022,649000000,32000,Xăng,Khác,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-corolla_altis-1.8v-2022-6475828
Volvo,Xc90,2022,-1304967296,70000,Xăng,Hà Nội,Cam,bonbanh,2026-01-09,https://bonbanh.com/xe-volvo-xc90-ultimate-b6-awd-2022-6157880
Porsche,Macan,2017,1690000000,68000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-porsche-macan-2.0-2017-6326245
Ford,Everest,2019,825000000,100000,Điện,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x4-at-2019-6610015
Hyundai,Accent,2022,409000000,41000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-accent-1.4-at-2022-6577492
Toyota,Land Cruiser,2015,2050000000,160000,Xăng,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-land_cruiser-vx-4.6-v8-2015-6605216
Audi,Q2,2019,830000000,52000,Xăng,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-audi-q2-1.0-tfsi-2019-6615120
Toyota,Camry,2022,1220000000,50000,Hybrid,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-camry-2.5hv-2022-6591133
Lexus,Gx,2021,-104967296,100000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-lexus-gx-460-2021-6575482
Volvo,Xc60,2022,-2104967296,60000,Hybrid,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-volvo-xc60-recharge-t8-awd-2022-6491193
Porsche,Macan,2019,1990000000,470000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-porsche-macan-2.0-2019-6575437
Audi,S8,2020,385032704,30000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-audi-s8-4.0-tfsi-quattro-2020-6589057
Audi,A8,2022,-614967296,25000,Xăng,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-audi-a8-l-55-tfsi-quattro-2022-6576705
Toyota,Alphard,2019,-1244967296,60000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-alphard-luxury-executive-lounge-2019-6562380
Mini,Cooper,2018,1250000000,38000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-mini-cooper-clubman-jcw-2018-6610760
Audi,Q5,2017,1129000000,62000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-audi-q5-2.0-at-2017-6295079
Audi,Q5,2017,1129000000,62000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-audi-q5-2.0-at-2017-6295079
Hyundai,Santafe,2025,1215000000,5800,Xăng,Khác,Nâu,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-santafe-calligraphy-2.5l-turbo-htrac-2025-6573003
Hyundai,Accent,2022,440000000,60000,Xăng,Hải Phòng,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-accent-1.4-at-dac-biet-2022-6552504
Maserati,Ghibli,2016,1398000000,54000,Xăng,TP.HCM,Xám,bonbanh,2026-01-09,https://bonbanh.com/xe-maserati-ghibli-3.0-v6-2016-6548714
Ford,Ranger Raptor,2018,790000000,104000,Dầu,TP.HCM,Xanh,bonbanh,2026-01-09,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2018-6507390
Hyundai,Creta,2024,615000000,9000,Xăng,Khác,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-creta-dac-biet-1.5-at-2024-6503703
Mercedes-Benz,Glc,2022,1899000000,60000,Xăng,TP.HCM,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-coupe-2022-6479383
Porsche,Macan,2015,1299000000,90000,Xăng,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-porsche-macan-2.0-2015-6454378
Kia,Sorento,2021,830000000,65074,Dầu,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-kia-sorento-2.2-dat-premium-2021-6585318
Volvo,Xc60,2025,-1544967296,60000,Hybrid,TP.HCM,Xám,bonbanh,2026-01-09,https://bonbanh.com/xe-volvo-xc60-plug-in-hybrid-ultra-t8-awd-2025-5506531
Mitsubishi,Outlander,2022,705000000,46000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-mitsubishi-outlander-premium-2.0-cvt-2022-6615113
Land Rover,Landrover,2020,1655032704,58000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-3.0-i6-2020-6600833
Toyota,Innova,2016,265000000,95000,Xăng,Hà Nội,Unknown,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-innova-2.0e-2016-6535576
Porsche,Cayenne,2019,-1344967296,59000,Xăng,Hà Nội,Xanh,bonbanh,2026-01-09,https://bonbanh.com/xe-porsche-cayenne-3.0-v6-2019-6558057
Toyota,Innova,2016,280000000,95000,Xăng,Hà Nội,Unknown,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-innova-2.0e-2016-6612145
Toyota,Alphard,2019,-1414967296,100000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-alphard-luxury-executive-lounge-2019-6597834
Mercedes-Benz,S Class,2022,-834967296,50000,Xăng,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-s_class-s450-4matic-2022-6611629
Audi,Q2,2019,830000000,48000,Xăng,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-audi-q2-1.0-tfsi-2019-6554601
Porsche,Panamera,2015,1950000000,36000,Xăng,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-porsche-panamera-3.6-v6-2015-6589363
Toyota,Alphard,2019,-1444967296,100000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-alphard-luxury-executive-lounge-2019-6610869
Mercedes-Benz,Glc,2019,890000000,82000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-glc-200-2019-6600270
Land Rover,Landrover,2020,1655032704,54000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-3.0-i6-2020-6613665
Kia,Cerato,2021,485000000,740000,Xăng,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-kia-cerato-1.6-at-luxury-2021-6593221
Toyota,Raize,2022,480000000,25000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-raize-g-1.0-cvt-2022-6599274
Land Rover,Landrover,2020,1655032704,54000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-3.0-i6-2020-6613703
Mazda,Cx 5,2018,588000000,66000,Xăng,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-mazda-cx5-2.5-at-2wd-2018-6613907
Mazda,3,2020,550000000,52000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-mazda-3-1.5l-premium-2020-6611424
VinFast,Vf 9,2025,1389000000,0,Điện,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-vinfast-vf9-eco-2025-6545026
VinFast,Vf 6,2025,719000000,0,Điện,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-vinfast-vf6-plus-2025-6544953
VinFast,Vf 8,2023,750000000,43000,Điện,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6542382
Toyota,Vios,2026,512000000,0,Điện,TP.HCM,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2026-5039544
Hyundai,Santafe,2025,907000000,0,Xăng,TP.HCM,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-santafe-exclusive-2.5l-2025-6397414
Kia,Morning,2011,215000000,100000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-kia-morning-1.0-at-2011-6615112
VinFast,Vf 6,2026,629000000,0,Điện,Hà Nội,Xám,bonbanh,2026-01-09,https://bonbanh.com/xe-vinfast-vf6--2026-6615111
Ford,Everest,2025,1599000000,3000,Điện,TP.HCM,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-ford-everest-platinum-2025-6615092
VinFast,Vf 9,2023,1020000000,6000,Điện,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-vinfast-vf9-plus-6s-sdi-2023-6609927
VinFast,Lux A,2021,520000000,55000,Điện,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-vinfast-lux_a_2.0-base-2.0-at-2021-6593074
VinFast,Vf 8,2024,795000000,30000,Điện,Hà Nội,Unknown,bonbanh,2026-01-09,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2024-6552906
VinFast,Vf 5,2024,425000000,270000,Điện,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-vinfast-vf5-plus-2024-6552991
VinFast,Vf 8,2022,745000000,33000,Điện,Hà Nội,Xám,bonbanh,2026-01-09,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2022-6613076
Toyota,Land Cruiser,2019,-394967296,100000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-land_cruiser-vx-4.6-v8-2019-6615108
Toyota,Camry,1998,110000000,10000,Xăng,Khác,Cam,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-camry-xli-2.2-1998-6615088
