brand,model,year,price,mileage,fuel,location,color,source,crawl_date,url
Mercedes,AMG,2021,7500000000,22000,Xăng,TP.HCM,Be,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-mercedes-benz-amg-g-63-hcm/mercedes-amg-g63-4matic-model-2021-aidxc23398655
Kia,Rio,2015,280000000,80000,Xăng,Hưng Yên,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-kia-rio-hung-yen/sedan-so-tu-dong-doi-xe-nhap-khau-ten-tu-nhan-bien-30-xe-dep-tat-nang-zin-ve-may-so-keo-chi-aidxc23398184
Honda,CR-V,2019,779000000,70000,Xăng,Hà Nội,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-honda-cr-v-ha-noi/len-bo-loa-cuc-chat-aidxc23398352
Mazda,3,2019,450000000,70,Xăng,Đà Nẵng,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-mazda-3-da-nang/2019-20l-sport-signature-premium-70-km-aidxc23397366
Mercedes,GLC,2023,2279000000,11000,Xăng,TP.HCM,Be,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-300-hcm/mercedes-glc300-4matic-2023-sieu-luot-11000km-cuc-dep-aidxc23397219
Ford,Ranger,2014,319000000,190000,Dầu,Hà Nội,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-ford-ranger-ha-noi/xe-re-chat-moi-aidxc23391849
Mazda,3,2017,395000000,80000,Xăng,Hà Nội,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/trang-nha-lich-su-aidxc23396967
Ford,Ranger,2020,515000000,60000,Dầu,TP.HCM,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/2020-nhap-thai-so-san1-chu-xe-di-rat-ky-aidxc23382547
Hyundai,Santa,2022,1200000000,44000,Xăng,TP.HCM,Đỏ,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-hyundai-santa-fe-hcm/2022-do-44000-km-aidxc23397286
Mazda,3,2017,393000000,72000,Xăng,Hà Nội,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/moi-lam-aidxc23398141
Toyota,Corolla,2022,680000000,23000,Xăng,TP.HCM,Trắng,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-hcm/altis-2022-18v-23000km-trang-aidxc23397064
Toyota,Fortuner,2010,289000000,160000,Xăng,Hải Dương,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-toyota-fortuner-hai-duong/xe-cuc-dep-ban-2-cau-lien-he-em-xem-xe-aidxc23398497
Hyundai,Accent,2019,288000000,70000,Xăng,Hải Dương,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-hyundai-accent-hai-duong/gia-288-trieu-aidxc23297714
Hyundai,Grand,2015,152000000,0,Xăng,Hà Nội,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-hyundai-grand-i10-ha-noi/2015-aidxc23398389
Hyundai,Accent,2024,459000000,22000,Xăng,Hà Nội,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-hyundai-accent-ha-noi/nhu-moi-aidxc23398354
Volvo,XC40,2019,939000000,33000,Xăng,TP.HCM,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-volvo-xc40-hcm/model-2020-nhap-khau-aidxc23398345
Kia,Sorento,2018,450000000,100000,Dầu,Khác,Trắng,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-kia-sorento-binh-dinh/2018-dau-trang-aidxc23397754
Toyota,Veloz,2025,585000000,25000,Xăng,TP.HCM,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-toyota-veloz-cross-hcm/top-2025-25000-km-aidxc23397139
Mercedes,C200,2022,1379000000,18000,Xăng,TP.HCM,Be,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-mercedes-benz-c200-hcm/odo-chi-18000-km-nhu-xe-moi-aidxc23398400
Volvo,S90,2022,1659000000,46000,Xăng,TP.HCM,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-volvo-s90-hcm/trang-noi-that-nau-sieu-hot-aidxc23395624
Mercedes,E300,2021,1659000000,57000,Xăng,TP.HCM,Be,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-mercedes-benz-e300-hcm/xe-sang-trong-da-qua-su-dung-chat-luong-dam-bao-aidxc23395321
Kia,Cerato,2021,480000000,70000,Xăng,Hà Nội,Trắng,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-kia-cerato-ha-noi/2021-luxury-16-70000-km-trang-aidxc23397735
Volvo,S90,2022,1750000000,28000,Xăng,TP.HCM,Xám,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-volvo-s90-hcm/2022-xam-5-cho-aidxc23397066
Toyota,Land,2017,1350000000,100000,Xăng,Hải Dương,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-toyota-land-cruiser-prado-hai-duong/noi-that-rong-rai-trang-bi-full-option-aidxc23364023
Dongben,X30,2019,120000000,10000,Xăng,Hà Nội,Be,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-dongben-x30-ha-noi/ban-tai-van-2-cho-san-xuat-nam-2019-aidxc23330326
Mercedes,GLC,2022,1739000000,32186,Xăng,TP.HCM,Be,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-300-hcm/ho-tro-nh-giao-xe-test-hang-toan-quoc-aidxc23398454
Toyota,Innova,2006,160000000,126000,Xăng,Đồng Nai,Đồng,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-toyota-innova-dong-nai/2006-g-so-san-aidxc23396858
Toyota,Land,2023,2960000000,48000,Xăng,Hà Nội,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-toyota-land-cruiser-prado-ha-noi/xe-rong-rai-tien-loi-aidxc23398694
Mercedes,GL,2014,900000000,95000,Xăng,Hà Nội,Be,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-mercedes-benz-gl-400-ha-noi/chat-duc-aidxc23398301
MG,ZS,2024,465000000,12000,Xăng,Hà Nội,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-mg-zs-ha-noi/hang-chat-gia-that-aidxc23398300
Nissan,Sunny,2020,225000000,75000,Xăng,Hải Dương,Xám,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-nissan-sunny-hai-duong/xe-tinh-trang-cuc-dep-full-option-tien-nghi-aidxc23393451
Toyota,Rush,2021,488000000,83000,Xăng,Hà Nội,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-toyota-rush-ha-noi/xe-tu-nhan-chinh-chu-aidxc23398692
Suzuki,Ertiga,2022,455000000,50000,Hybrid,TP.HCM,Unknown,otocomvn,2025-12-26,https://oto.com.vn/mua-ban-xe-suzuki-ertiga-hcm/xe-dep-aidxc23323724
