brand,model,year,price,mileage,fuel,location,color,source,crawl_date,url
Hyundai,Accent,2023,468000000,39000,Xăng,TP.HCM,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-hyundai-accent-hcm/2023-14-at-dac-biet-39000-km-aidxc23397665
Hyundai,Grand,2016,165000000,195000,Xăng,Đà Nẵng,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-hyundai-grand-i10-da-nang/2016-10-base-195000-km-aidxc23395260
Kenbo,Xe,2023,175000000,40000,Xăng,Hà Nội,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-kenbo-xe-du-lich-ha-noi/ban-2-cho-san-xuat-nam-2023-di-4v-km-aidxc23380379
Ford,Ranger,2017,380000000,350000,Dầu,TP.HCM,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/2017-xl-22-4x4-mt-350000-km-aidxc23396650
Volvo,S90,2022,1639000000,42000,Xăng,TP.HCM,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-volvo-s90-hcm/lwb-2022-luot-nhe-cuc-dep-aidxc23398259
Hyundai,Tucson,2019,585000000,80000,Xăng,Nghệ An,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-hyundai-tucson-nghe-an/2019-80000-km-aidxc23395216
Toyota,Innova,2019,580000000,56983,Xăng,TP.HCM,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-toyota-innova-hcm/2019-20g-56983-km-aidxc23396708
Volkswagen,Teramont,2022,1679000000,16000,Xăng,TP.HCM,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-volkswagen-teramont-hcm/nhap-my-16000-km-aidxc23392961
Ford,Ranger,2023,1150000000,40000,Xăng,TP.HCM,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/raptor-2023-xe-ca-nhan-1-chuchay-it-aidxc23360814
Suzuki,Super,2020,183000000,10000,Xăng,Hà Nội,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-suzuki-super-carry-van-ha-noi/ban-su-van-2-cho-san-xuat-2020-dang-kiem-dai-xe-dep-xuat-sac-aidxc23396678
Toyota,Vios,2010,115000000,40,Xăng,Khác,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-toyota-vios-bac-giang/ban-2010-gia-115trieu-aidxc23363980
Nissan,Sunny,2015,120000000,40,Xăng,Khác,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-nissan-sunny-bac-giang/ban-2015-1-5mt-gia-120tr-aidxc23382587
Chevrolet,Gentra,2010,70000000,40,Xăng,Khác,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-chevrolet-gentra-bac-giang/ban-2010-gia-70trieu-aidxc23375019
Ford,Focus,2018,359000000,79000,Xăng,TP.HCM,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-ford-focus-hcm/ban-san-xuat-2018-bang-titanium-aidxc23398250
Ford,EcoSport,2019,400000000,51000,Xăng,Khác,Nâu,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-ford-ecosport-ben-tre/2019-nau-51000-km-aidxc23395246
Toyota,Vios,2017,235000000,300000,Xăng,Bình Dương,Bạc,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-toyota-vios-binh-duong/2017-bac-5-cho-aidxc23396184
Ford,Ranger,2019,540000000,40000,Dầu,TP.HCM,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/2019-so-tu-dongho-tro-gop-70bao-test-aidxc23397800
Kia,Sorento,2018,450000000,100000,Dầu,Khác,Trắng,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-kia-sorento-binh-dinh/2018-dau-trang-aidxc23397754
Toyota,Corolla,2022,700000000,0,Xăng,Hà Nội,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-toyota-corolla-cross-ha-noi/2022-tai-aidxc23397294
Mercedes,GLC,2023,2279000000,22000,Xăng,TP.HCM,Be,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-300-hcm/mercedes-glc300-4matic-2023-luot-nhe-cuc-dep-aidxc23397110
