brand,model,year,price,mileage,fuel,location,color,source,crawl_date,url
Mercedes-Benz,C Class,2015,560000000,1,Xăng,Hà Nội,Đen,chotot,2026-01-09,https://www.chotot.com/123279837.htm
Toyota,Vios,2023,470000000,16000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130185630.htm
Ford,Wildtrak,2020,675000000,85000,Điện,Lâm Đồng,Đỏ,chotot,2026-01-09,https://www.chotot.com/130144362.htm
Toyota,Vios,2018,350000000,138000,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130185599.htm
Toyota,Fortuner,2019,705000000,215000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129952519.htm
Honda,Cr V,2025,1099000000,0,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/128782382.htm
Other,Other,2007,240000000,20000,Điện,Bắc Ninh,Trắng,chotot,2026-01-09,https://www.chotot.com/130185589.htm
Mazda,Cx 5,2025,810000000,11000,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130185534.htm
Mercedes-Benz,Gla,2022,1699000000,48000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129669386.htm
Mercedes-Benz,S Class,2017,3299000000,66000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130040742.htm
Hyundai,Tucson,2018,585000000,86000,Điện,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/129072883.htm
Ford,Ranger,2024,675000000,55000,Dầu,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/129797463.htm
Mitsubishi,Jolie,2002,57000000,12,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130185511.htm
Hyundai,Santafe,2017,588000000,78000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129060097.htm
Mazda,3,2023,623000000,22222,Điện,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/130165313.htm
Ford,Ecosport,2016,318000000,80000,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/128368849.htm
VinFast,Lux,2019,590000000,89638,Điện,Hà Nội,Đen,chotot,2026-01-09,https://www.chotot.com/123702610.htm
Hyundai,Tucson,2018,585000000,86000,Dầu,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/129072796.htm
Toyota,Avanza,2024,553000000,17000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129952726.htm
Honda,Crv,2024,1020000000,23000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129510006.htm
Kia,K5,2023,726000000,25000,Xăng,Lâm Đồng,Đỏ,chotot,2026-01-09,https://www.chotot.com/130185394.htm
VinFast,Limogreen,2010,694000000,160000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/127164051.htm
Toyota,Innova,2021,574000000,83000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129890424.htm
Mercedes-Benz,Gls400,2018,1699000000,80000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130161495.htm
Mercedes-Benz,E Class,2019,1039000000,73000,Điện,TP.HCM,Đen,chotot,2026-01-09,https://www.chotot.com/130040355.htm
Other,Other,2024,965000000,5000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130122851.htm
VinFast,Ecvan,2010,267000000,0,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/125021638.htm
Mercedes-Benz,S450,2022,4290000000,16000,Điện,TP.HCM,Đen,chotot,2026-01-09,https://www.chotot.com/130105042.htm
Hyundai,Accent,2018,362000000,86000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129411584.htm
Mitsubishi,Attrage,2024,305000000,39000,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130183375.htm
Ford,Everest,2025,1099000000,0,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/126856936.htm
Nissan,Sunny,2016,245000000,90000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/124487217.htm
Suzuki,Celerio,2019,185000000,123,Điện,Cần Thơ,Đỏ,chotot,2026-01-09,https://www.chotot.com/129723396.htm
Other,Other,2014,555000000,77000,Xăng,Đà Nẵng,Trắng,chotot,2026-01-09,https://www.chotot.com/130038963.htm
Ford,Giá,2025,896000000,0,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/126858592.htm
MG,5,2023,409000000,64000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129706375.htm
VinFast,Limogreen,2025,679000000,0,Điện,TP.HCM,Đen,chotot,2026-01-09,https://www.chotot.com/130028330.htm
Other,Other,2022,1060000000,40000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129226833.htm
Toyota,Bán,2018,185000000,85000,Điện,Đà Nẵng,Trắng,chotot,2026-01-09,https://www.chotot.com/129924802.htm
Ford,Ranger,2011,215000000,150000,Điện,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/129559303.htm
Ford,Fiesta,2013,280000000,59800,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129490830.htm
Mazda,3,2019,445000000,90000,Xăng,Khác,Đỏ,chotot,2026-01-09,https://www.chotot.com/130185234.htm
Kia,Morning,2011,90000000,220211,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130062862.htm
Other,Other,2006,75000000,100000,Điện,Khác,Đỏ,chotot,2026-01-09,https://www.chotot.com/130185201.htm
Kia,Carnival,2022,1190000000,70000,Dầu,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129804582.htm
Other,Other,2010,572000000,10,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130185131.htm
Porsche,Macan,2022,2899000000,8,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130040500.htm
Ford,Escape,2004,100000000,100000,Xăng,Đà Nẵng,Đen,chotot,2026-01-09,https://www.chotot.com/130185113.htm
Other,Other,2021,438000000,40000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130172426.htm
Toyota,Camry,2018,698000000,90000,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130171968.htm
Toyota,Innova,2018,370000000,11000,Xăng,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/130185089.htm
Honda,Accord,2004,205000000,100000,Điện,Vĩnh Long,Đỏ,chotot,2026-01-09,https://www.chotot.com/130185043.htm
Ford,Chưa,2010,1299000000,0,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/124858684.htm
Hyundai,Custin,2025,809000000,14000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129012240.htm
VinFast,Vf 3,2025,267000000,0,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130144424.htm
Honda,City,2021,500000000,8015,Điện,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/130185029.htm
Other,Other,2022,1060000000,60000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130119507.htm
Ford,Ecosport,2019,465000000,41000,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130140675.htm
Toyota,Innova,2008,198000000,86000,Điện,TP.HCM,Đen,chotot,2026-01-09,https://www.chotot.com/130009690.htm
Kia,Carens,2022,668000000,45000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129743079.htm
Honda,City,2024,518000000,12000,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130184929.htm
Mercedes-Benz,S500,2015,1198000000,30000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/127310161.htm
Ford,Everest,2019,745000000,98000,Điện,Lâm Đồng,Đỏ,chotot,2026-01-09,https://www.chotot.com/130184905.htm
Other,Other,2021,1938000000,30000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130184858.htm
Ford,Ranger,2013,295000000,185000,Dầu,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129319184.htm
Toyota,Wigo,2018,255000000,83500,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130184827.htm
Honda,Crv,2024,1010000000,23100,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129431825.htm
Other,Other,2025,979000000,0,Dầu,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/126858438.htm
Other,Other,2024,395000000,2,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129002669.htm
Other,Other,2010,899000000,10000,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129471695.htm
Toyota,Altis,2013,390000000,68000,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129978127.htm
Other,Other,2023,460000000,60000,Dầu,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130119899.htm
Ford,Everest,2022,1286000000,24000,Điện,TP.HCM,Đen,chotot,2026-01-09,https://www.chotot.com/129893887.htm
VinFast,Vf 3,2024,222000000,11000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129129590.htm
Other,Other,2002,110000000,30000,Điện,Hưng Yên,Trắng,chotot,2026-01-09,https://www.chotot.com/130184738.htm
Kia,Picanto,2007,138000000,150000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130184731.htm
Suzuki,Xl7,2021,457000000,55000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129517166.htm
